
SQLCODE=+012 , SQLSTATE=01545 未限定的列名被解释为一个有相互关系的引用 
SQLCODE=-586 , SQLSTATE=42907 CURRENT PATH专用寄存器在长度上不能超过254字符 
SQLCODE=-587 , SQLSTATE=428C6 项目引用的列表必须是同一个家族 
SQLCODE=-590 , SQLSTATE=42734 在命名的存储过程或用户自定义的函数中的参数必须是独一无二的 
SQLCODE=-592 , SQLSTATE=42510 没有授权权限，让你在WLM环境中建立的存储过程或者用户自定义函数 


SQLCODE=-601 , SQLSTATE=42710 试图创建（或重命名）已经存在的对象 
SQLCODE=-602 , SQLSTATE=54008 CREATE INDEX语句中指定的列太多 
SQLCODE=-603 , SQLSTATE=23515 因为发现有重复值，所以不能建立唯一的索引 
SQLCODE=-604 , SQLSTATE=42611 在CREATE或ALTER TABLE语句中的为数据类型指定的长度、精度以及标度无效 
SQLCODE=-607 , SQLSTATE=42832 指定的INSERT、UPDATE或DELETE语句不能被发布，应为这些语句对DB2 CATLOG表执行写操作 
SQLCODE=-611 , SQLSTATE=53088 当LOCKSIZE是TABLE或者TABLESPACE时，LOCKMAX必须为0 
SQLCODE=-612 , SQLSTATE=42711 在同一个表、索引或试图中不允许有重复列名 
SQLCODE=-613 , SQLSTATE=54008 主健或UNIQUE约束太长或者包含了太多的列 
SQLCODE=-614 , SQLSTATE=54008 已经超过了索引的内部健长度的最大长度（255）限制 
SQLCODE=-615 , SQLSTATE=55006 不能删除这个程序包，因为该程序包目前正在执行 
SQLCODE=-616 , SQLSTATE=42893 指定的对象不能被删除，因为其他对象依赖于该对象 
SQLCODE=-617 , SQLSTATE=56089 对于DB2版本6，1型索引无效。对于以前的版本，1型索引不能用LOCKSIZE ROW或LARGE表空间定义 
SQLCODE=-618 , SQLSTATE=42832 对DB2 CATALOG表的请求操作时不允许的 
SQLCODE=-619 , SQLSTATE=55011 DSNDB07不能修改，除非他先被停止了 
SQLCODE=-620 , SQLSTATE=53001 对在DSNDB07中的表空间不允许指定该关键词 
SQLCODE=-621 , SQLSTATE=58001 遇到了重复的DBID，遇到了系统问题 
SQLCODE=-622 , SQLSTATE=56031 不能指定FOR MIXED DATA因为没有安装混合数据选项 
SQLCODE=-623 , SQLSTATE=55012 不能为单一的表定义多个族索引 
SQLCODE=-624 , SQLSTATE=42889 不能为单一的表定义多个主健 
SQLCODE=-625 , SQLSTATE=55014 用主健定义的表要求唯一索引 
SQLCODE=-626 , SQLSTATE=55015 不能发布ALTER语句来改变PRIQTY SECQTY或ERASE，除非先停止了表空间 
SQLCODE=-627 , SQLSTATE=55016 不能发布ALTER语句来改变PRIQTY SECQTY或ERASE，除非先把表空间定义为使用存储器组的表空间 
SQLCODE=-628 , SQLSTATE=42613 指定语句时相互排斥的（例如，不能分区一个分段的表空间） 
SQLCODE=-629 , SQLSTATE=42834 因为该外健不能包含空值，所以SET NULL无效 
SQLCODE=-630 , SQLSTATE=56089 不能为1型索引指定WHERE NOT NULL 
SQLCODE=-631 , SQLSTATE=54008 无效的外健；要么是比254个字节长，要么包含的列数多于40 
SQLCODE=-632 , SQLSTATE=42915 指定的删除规则禁止把这个表定义为已制定表的从属表 
SQLCODE=-633 , SQLSTATE=42915 无效删除规则；必须使用特定的强制删除规则 
SQLCODE=-634 , SQLSTATE=42915 在这种情况下，DELETE CASCADE不允许 
SQLCODE=-635 , SQLSTATE=42915 删除规则不能有差异或者不能为SET NULL 
SQLCODE=-636 , SQLSTATE=56016 在分区索引健的升序或降序规范中，分区所以必须与该规范一致 
SQLCODE=-637 , SQLSTATE=42614 遇到重复的关键词 
SQLCODE=-638 , SQLSTATE=42601 在CREATE TABLE语句中缺少列定义 
SQLCODE=-639 , SQLSTATE=56027 带有SET NULL的删除规则的外健的可空列不能是分区索引的列 
SQLCODE=-640 , SQLSTATE=56089 不能为这个表空间指定LOCKSIZE ROW，因为在该表空间中的表上定义了1型索引 
SQLCODE=-642 , SQLSTATE=54021 唯一约束包含太多的列 
SQLCODE=-643 , SQLSTATE=54024 检查约束超出了3800个字符的最大长度 
SQLCODE=-644 , SQLSTATE=42615 在SQL语句中为关键词指定的值无效 
SQLCODE=-646 , SQLSTATE=55017 在指定的分区表空间或者缺省表空间中不能创建表，因为指定的表空间已经包含了一个表 
SQLCODE=-647 , SQLSTATE=57003 指定的缓冲池无效，因为他没有被激活 
SQLCODE=-650 , SQLSTATE=56090 ALTER INDEX不能被执行；提供了原因代码 
SQLCODE=-651 , SQLSTATE=54025 如果CREARE或ALTER TABLE被允许，表对象的描述词（object descriptor,OBD）将超过最大值（32KB） 
SQLCODE=-652 , SQLSTATE=23506 遇到了EDITRPROC或VALIDPROC冲突 
SQLCODE=-653 , SQLSTATE=57004 在分区表空间中的表不可用，因为分区索引尚未被创建 
SQLCODE=-655 , SQLSTATE=56036 在卷的列表中，STOGROUP不能指定为特定的或不特定（“*”）的卷 
SQLCODE=-658 , SQLSTATE=42917 当试图删除指定的对象时，无法删除该对象，该对象的删除必须通过删除与之相关联的对象完成 
SQLCODE=-660 , SQLSTATE=53035 不正确的分区索引规范，必须为族索引定义有限制的关键字 
SQLCODE=-661 , SQLSTATE=53036 分区索引没有指定恰当的分区数目 
SQLCODE=-662 , SQLSTATE=53037 试图在未分区的表空间（分段的或简单的）上建立分区索引 
SQLCODE=-663 , SQLSTATE=53038 为分区索引指定的关键字限制值是一个无效数字 
SQLCODE=-665 , SQLSTATE=53039 为ALTER TABLESOACE语句指定了无效的PART语句 
SQLCODE=-666 , SQLSTATE=57005 SQL语句不能被处理，因为指定的函数当前正处于进行过程中 
SQLCODE=-667 , SQLSTATE=42917 不能明确的删除分区表空间的族索引，必须除去分区表空间来去掉分区索引 
SQLCODE=-668 , SQLSTATE=56018 不能向用EDITPROC定义的表中添加列 (锁表，call sysproc.admin_cmd('reorg table table_name');)
SQLCODE=-669 , SQLSTATE=42917 不能显式的删除分区表空间中的表，必须删除分区表空间来删除表 
SQLCODE=-670 , SQLSTATE=54010 表的记录长度超过了页面的大小 
SQLCODE=-671 , SQLSTATE=53040 不能更改指定的表空间的缓冲池，因为这将改变表空间的页面大小 
SQLCODE=-672 , SQLSTATE=55035 在命名的表上不允许DROP 
SQLCODE=-676 , SQLSTATE=53041 只有4KB的缓冲池可被用于一个索引 
SQLCODE=-677 , SQLSTATE=57011 缓冲池扩展失败，由于可用的虚拟内存的大小不足 
SQLCODE=-678 , SQLSTATE=53045 为才分区索引中指定的限制健提供的值与数据类型不符 
SQLCODE=-679 , SQLSTATE=57006 不能创建某一个特定对象，因为该对象的一个drop目前正在挂起 
SQLCODE=-680 , SQLSTATE=54011 对DB2表不能超过750列 
SQLCODE=-681 , SQLSTATE=23507 列违反了指定的FIELDPROC 
SQLCODE=-682 , SQLSTATE=57010 不能载入FIELDPROC 
SQLCODE=-683 , SQLSTATE=42842 列、单值类型、函数或者过程无效，因为不兼容语句。例如，指定的INTEGER具有FORBITDATA选项 
SQLCODE=-684 , SQLSTATE=54012 指定的文字列表不能超过254个字节 
SQLCODE=-685 , SQLSTATE=58002 FIELDPROC返回一个无效的域描述 
SQLCODE=-686 , SQLSTATE=53043 用FIELDPROC定义的一个列不能与一个使用不同的FIELDPROC定义的列作比较 
SQLCODE=-687 , SQLSTATE=53044 列不能与一个非兼容字段类型的列比较 
SQLCODE=-688 , SQLSTATE=58002 返回不正确的数据 
SQLCODE=-689 , SQLSTATE=54011 从属表定义了太多的列 
SQLCODE=-690 , SQLSTATE=23508 数据定义的控制支持拒绝这个语句 
SQLCODE=-691 , SQLSTATE=57018 命名的注册表不存在 
SQLCODE=-692 , SQLSTATE=57018 命名的索引不存在，但命名的注册表需要该索引 
SQLCODE=-693 , SQLSTATE=55003 命名的注册表/索引的命名列无效 
SQLCODE=-694 , SQLSTATE=57023 DROP正在命名的注册表上挂起 
SQLCODE=-696 , SQLSTATE=42898 由于相关的名字或者转换表的名字使用不正确，指定的触发器无效 
SQLCODE=-697 , SQLSTATE=42899 FOR EACH语句被指定，因此与OLD合NEW相关的名字是不允许的，或者不能为一个BEFORE触发器指定OLD_TABLE和NEW_TABLE 

SQLCODE=-713 , SQLSTATE=42815 指定的专用寄存器是无效的 
SQLCODE=-715 , SQLSTATE=56064 命名的程序不能被运行，因为他依赖与你所安装的DB2版本的部件，但是你的数据中心没有安装这个部件 
SQLCODE=-716 , SQLSTATE=56065 命名的程序使用这个版本的不正确的发行版本做了预编译 
SQLCODE=-717 , SQLSTATE=56066 BIND失败，因为他依赖与你所安装的DB2版本的部件，但是你的数据中心没有安装这个部件 
SQLCODE=-718 , SQLSTATE=56067 REBIND失败，因为IBMREQD列无效 
SQLCODE=-719 , SQLSTATE=42710 不能BIND ADD一个已经存在的程序包 
SQLCODE=-720 , SQLSTATE=42710 不能BIND REPLACE一个已经存在的程序包版本 
SQLCODE=-721 , SQLSTATE=42710 程序包的一致性记号必须是独一无二的 
SQLCODE=-722 , SQLSTATE=42704 绑定错误，因为指定的程序包不存在 
SQLCODE=-723 , SQLSTATE=09000 一个触发的SQL语句接受到一个错误 
SQLCODE=-724 , SQLSTATE=54038 达到了（16）级联间接的SQL语句的最大项目 
SQLCODE=-725 , SQLSTATE=42721 对专门指定的寄存器提供了一个无效值 
SQLCODE=-726 , SQLSTATE=55030 因为SYSPKSYSTEM条目，不能绑定这个程序包 
SQLCODE=-728 , SQLSTATE=56080 指定的数据类型不能与私有协议发布一起使用 
SQLCODE=-729 , SQLSTATE=429B1 用COMMIT ON RETURN定义的存储过程不能用作嵌套的CALL过程的目标 
SQLCODE=-730 , SQLSTATE=56053 在只读的共享数据库中为表定义的参照完整性无效 
SQLCODE=-731 , SQLSTATE=56054 VSAM数据集必须用SHAREOPTION（1.3）定义 
SQLCODE=-732 , SQLSTATE=56055 被定义为只读型数据库却拥有没有定义空间或者索引空间的DB2子系统 
SQLCODE=-733 , SQLSTATE=56056 只读共享数据库的定义不一致 
SQLCODE=-734 , SQLSTATE=56057 一旦一个数据库被定义为ROSHARE READ，他将不能被更改为其他不同的ROSHARE状态 
SQLCODE=-735 , SQLSTATE=55004 用DBID名称标识的数据库不再是一个只读共享数据库 
SQLCODE=-736 , SQLSTATE=53014 命名的DBID无效 
SQLCODE=-737 , SQLSTATE=53056 在这种状况下，不能建立一个隐含的表空间 
SQLCODE=-739 , SQLSTATE=56088 因为同时指定了ALLOW PARALLEL和MODIELES SQL DATA这两个语句，因此已设定的函数将不能再被更改 
SQLCODE=-740 , SQLSTATE=51034 在这种方式下不能用MODIELES SQL DATA定义指定的函数 
SQLCODE=-741 , SQLSTATE=55030 已经为命名的共享组成员的数据定义了工作文件数据库 
SQLCODE=-742 , SQLSTATE=53004 DSNDB07是隐含的工作文件数据库 
SQLCODE=-746 , SQLSTATE=57053 在特定的触发器、存储过程或函数中的SQL语句违反嵌套SQL限制 
SQLCODE=-747 , SQLSTATE=57054 指定的表是不可用的除非为LOB数据列建立起必须的辅助表 
SQLCODE=-748 , SQLSTATE=54042 在指定的辅助表上已经有一个索引 
SQLCODE=-750 , SQLSTATE=42986 不能对已指定的表重新命名,因为他至少在一个现存的视图或触发器中被引用 
SQLCODE=-751 , SQLSTATE=42987 存储过程或用户自定义的函数试图执行一个不允许执行的SQL语句。DB2的线程被置于MUST_ROLLBACK状态 
SQLCODE=-752 , SQLSTATE=0A001 无效CONNECT语句 
SQLCODE=-763 , SQLSTATE=560A1 无效的表空间名 
SQLCODE=-764 , SQLSTATE=560A2 LOB表空间必须与其相关的基表空间同在一个数据库中 
SQLCODE=-765 , SQLSTATE=560A3 表和数据库不兼容 
SQLCODE=-766 , SQLSTATE=560A4 不能对辅助表进行请求的操作 
SQLCODE=-767 , SQLSTATE=42626 CREATE INDEX失败，因为在辅助表中为索引指定了列，或者因为没有为非辅助表的索引指定列 
SQLCODE=-768 , SQLSTATE=560A50 不能为指定的列或者指定的分区建立辅助表，因为其辅助表已经存在 
SQLCODE=-769 , SQLSTATE=53096 CREATE AUX TABLE的规格与基表不匹配 
SQLCODE=-770 , SQLSTATE=530A6 指定的表必须有一个ROWID列，那么该表才可以包含一个LOB列 
SQLCODE=-771 , SQLSTATE=428C7 无效的ROWID列规范 
SQLCODE=-797 , SQLSTATE=42987 CREATE TRIGGER包含不被支持的语法 
SQLCODE=-798 , SQLSTATE=428C9 不能把一个值插入到用GENERATED ALWAYS定义的ROWID列 

SQLCODE=-802 , SQLSTATE=22012 某一特定操作发生了异常错误。被零除 ,SQLSTATE= 22003 某一特定操作发生了异常错误。但不是被零除 
SQLCODE=-803 , SQLSTATE=23505 不能插入行，因为这将违反唯一索引的约束 
SQLCODE=-804 , SQLSTATE=07002 SQLDA的调用参数列表有误 
SQLCODE=-805 , SQLSTATE=51002 在计划中没有发现DBRM或程序包名 
SQLCODE=-807 , SQLSTATE=23509 对已指定的环境和连接，该程序包不可用 
SQLCODE=-808 , SQLSTATE=08001 CONECT语句与程序中的第一个CONNECT语句不一致 
SQLCODE=-811 , SQLSTATE=21000 当多行作为一内嵌的选择语句的返回结果是，必须使用游标 
SQLCODE=-812 , SQLSTATE=22508 在CURRENT PACKAGESET中的ID集合是空白的，语句不能被执行 
SQLCODE=-815 , SQLSTATE=42920 在一个内置选择语句或者一个基本谓词的子查询中，显式的或隐含的指定了GROUP BY或HAVING语句 
SQLCODE=-817 , SQLSTATE=25000 执行SQL语句将可能导致禁止更新用户数据或DB2编目 
SQLCODE=-818 , SQLSTATE=5103 计划<－>载入组件的时间戳不匹配，在执行计划中没有从同一个预编译中建立DBRM，该预编译是作为组件载入的 
SQLCODE=-819 , SQLSTATE=58004 视图不能重建，因为在DB2编目中存储的分析树长度为0 
SQLCODE=-820 , SQLSTATE=58004 在这个DB2版本的DB2编目中遇到了无效值 
SQLCODE=-822 , SQLSTATE=51004 在SQLDA中遇到了无效地址 
SQLCODE=-840 , SQLSTATE=54004 在选择列表或插入列表中返回的项目太多 
SQLCODE=-842 , SQLSTATE=08002 到指定位置的连接已经存在 
SQLCODE=-843 , SQLSTATE=08003 SET CONNECTION或RELEASE语句无法执行，因为连接不存在 
SQLCODE=-870 , SQLSTATE=58026 宿主变量描述符的个数不等于语句中宿主变量的个数 
SQLCODE=-872 , SQLSTATE=51302 这个子系统已指定了有效的CCSID 
SQLCODE=-873 , SQLSTATE=53090 同一SQL语句中，不能同时引用EBCDIC表中的定义的列和ASCII表中定义的列 
SQLCODE=-874 , SQLSTATE=53901 指定对象的编码方案与其表空间的编码方案不匹配 
SQLCODE=-875 , SQLSTATE=42988 指定的操作符不能用于ASCII数据 
SQLCODE=-876 , SQLSTATE=53092 不能为指定的原因创建对象：提供了原因代码 
SQLCODE=-877 , SQLSTATE=53093 数据库或表空间不允许用ASCII，必须使用EBCDIC 
SQLCODE=-878 , SQLSTATE=53094 该PLAN——TABLE不能是ASCII，必须使用EBCDIC 
SQLCODE=-879 , SQLSTATE=53095 指定对象的CREATE或ALTER语句不能将列、单值类型，某个存储过程或用户自定义函数的参数定义为以下类型：MAXED DATA，GRAPHIC，VARGRAPHIC，LONGVARGRAPHIC，因为系统没有为指定的编码方案定义相应的CCSID 

SQLCODE=-900 , SQLSTATE=08003 应用处理没有连接到应用服务器，语句不能被执行 
SQLCODE=-901 , SQLSTATE=58004 遇到时断时续的系统错误，该错误不能抑制后继的SQL语句的执行 
SQLCODE=-902 , SQLSTATE=58005 内部控制块的指针错误，要求重新绑定 
SQLCODE=-904 , SQLSTATE=57011 指定的资源不可用 
SQLCODE=-905 , SQLSTATE=57014 超出了资源上限 
SQLCODE=-906 , SQLSTATE=51005 因为重大错误，SQL语句无法执行 
SQLCODE=-908 , SQLSTATE=23510 当前资源限制设施的规范或者自动重绑定的系统参数不允许BIND，REBIND，AUTOREBIND 
SQLCODE=-909 , SQLSTATE=57007 对象已被删除 
SQLCODE=-910 , SQLSTATE=57007 因为在该对象上挂起DROP，所以不能访问该对象 
SQLCODE=-911 , SQLSTATE=40001 当前工作单元已被回滚 
SQLCODE=-913 , SQLSTATE=57033 因为死锁或超时导致不成功执行 
SQLCODE=-917 , SQLSTATE=42969 绑定程序包已经失败 
SQLCODE=-918 , SQLSTATE=51021 SQL语句不能被执行，因为连接丢失 
SQLCODE=-919 , SQLSTATE=56045 需要一个ROLLBACK 
SQLCODE=-922 , SQLSTATE=42505 连接权限失败。试图从TSO、CICS或IMS访问DB2，同时相应的连接设施处于非活动的状态 
SQLCODE=-923 , SQLSTATE=57015 因为DB2不可用，所以不能建立连接 
SQLCODE=-924 , SQLSTATE=58006 遇到了DB2内部的连接错误：提供了原因代码 
SQLCODE=-925 , SQLSTATE=2D521 SQL的COMMIT语句不能从CICS或IMS/TM发布 
SQLCODE=-926 , SQLSTATE=2D521 SQL的ROLLBACK语句不能从CICS或IMS/TM发布 
SQLCODE=-927 , SQLSTATE=51006 当正在连接的环境没有建立时，语言接口被调用。利用DSN命令激发该程序 
SQLCODE=-929 , SQLSTATE=58002 数据获取退出已经失败（DPROP） 
SQLCODE=-939 , SQLSTATE=51021 由于远程服务器的未请求的回滚，要求一个回滚 
SQLCODE=-947 , SQLSTATE=56038 SQL语句失败，因为更新不能被传播（DPROP） 
SQLCODE=-948 , SQLSTATE=56062 DDF没有启动，分布式操作无效 
SQLCODE=-950 , SQLSTATE=42705 在SQL语句中指定的位置在SYSIBM.LOCATIONS中没有定义 
SQLCODE=-965 , SQLSTATE=51021 存储过程非正常终止（在DB2 6之前的版本） 
SQLCODE=-981 , SQLSTATE=57015 当前不是处于允许SQL的状态时，试图在RRSAF中执行SQL 
SQLCODE=-991 , SQLSTATE=57015 调用连接不能建立一个到DB2的隐含或开放连接 


SQLCODE=-2001  , SQLSTATE=53089 为储存过程指定的宿主变量参数的个数不等于预期的参数个数 
SQLCODE=-20003 , SQLSTATE=560A7 不能为GRECP中的表空间或索引指定GBPCACHE NONE 
SQLCODE=-20004 , SQLSTATE=560A8 对于WORKFILE对象。8KB或16Kb的缓冲池页面大小无效 
SQLCODE=-20005 , SQLSTATE=54035 指定的对象类型超出了内部的ID极限 
SQLCODE=-20006 , SQLSTATE=53097 当没有指定WLM环境时，LOB不能被指定为参数 
SQLCODE=-20070 , SQLSTATE=53098 不能非LOB列建立一个辅助表 
SQLCODE=-20071 , SQLSTATE=53099 必须指定WLM环境名 
SQLCODE=-20072 , SQLSTATE=56052 指定的权限ID不拥有在触发器程序包上执行BIND所需的权限 
SQLCODE=-20073 , SQLSTATE=42927 不能按照指定的要求更改命名的函数，因为在现存的视图定义中引用了该函数 
SQLCODE=-20074 , SQLSTATE=42939 不能建立指定的对象，因为“SYS”是一个保留的前缀 
SQLCODE=-20100 , SQLSTATE=56059 在被触发的SQL语句中有BIND错误，指定了错误的SQLCODE和SQLSTATE 
SQLCODE=-20101 , SQLSTATE=56059 由于指定的原因代码，该函数失败 
SQLCODE=-20102 , SQLSTATE=42849 在CREATE或ALTER FUNCTION语句中不能使用指定的选项 
SQLCODE=-20104 , SQLSTATE=42856 更改一个CCSID失败 
SQLCODE=-20106 , SQLSTATE=42945 不能改变表空间或数据库的CCSID，因为现存的视图引用 


SQLCODE=-30000 , SQLSTATE=58008 DRDA分布协议错误；处理可以继续 
SQLCODE=-30002 , SQLSTATE=57057 使用DRDA的分布式客户把OPEN语句连接到PREPARE，但PREPARE接受到一个SQLCODE为＋495的警告 
SQLCODE=-30020 , SQLSTATE=58009 DRDA分布协议错误；对话被解除 
SQLCODE=-30021 , SQLSTATE=58010 DRDA分布协议错误；处理不能继续 
SQLCODE=-30030 , SQLSTATE=58013 违反分布协议：COMMIT不成功，对话被解除（AS） 
SQLCODE=-30040 , SQLSTATE=57012 因为不能得到资源，执行失败，处理可以继续（AS） 
SQLCODE=-30041 , SQLSTATE=57013 因为不能得到资源，执行失败，处理不能成功的继续（AS） 
SQLCODE=-30050 , SQLSTATE=58011 执行不成功，在BIND过程中不能执行语句 
SQLCODE=-30051 , SQLSTATE=58012 特定的BIND过程不是处于活动状态（远程BIND），从而导致失败 
SQLCODE=-30052 , SQLSTATE=42932 程序准备的假设错误 
SQLCODE=-30053 , SQLSTATE=42506 程序包的拥有者遭遇授权失败 
SQLCODE=-30060 , SQLSTATE=08004 RBD遭遇授权失败 
SQLCODE=-30061 , SQLSTATE=08004 指定了无效或者没有存在的RDB 
SQLCODE=-30070 , SQLSTATE=58014 目标子系统不支持这个命令 
SQLCODE=-30071 , SQLSTATE=58015 目标子系统不支持这个对象 
SQLCODE=-30072 , SQLSTATE=58016 目标子系统不支持这个参数 
SQLCODE=-30073 , SQLSTATE=58017 目标子系统不支持这个参数值 
SQLCODE=-30074 , SQLSTATE=58018 应答信息不被支持 
SQLCODE=-30080 , SQLSTATE=08001 SNA通信错误 
SQLCODE=-30081 , SQLSTATE=58019 TCP/IP通信错误 
SQLCODE=-30082 , SQLSTATE=08001 由于安全冲突、通信失败：提供了原因代码 
SQLCODE=-30090 , SQLSTATE=25000 指定的操作对远程执行失败 
SQLCODE=-30104 , SQLSTATE=56095 在绑定选项与绑定值中有错误 
SQLCODE=-30105 , SQLSTATE=56096 指定的绑定选项不兼容

